time_sec,wall_distance,desired_distance,error,ransac_slope,ransac_intercept,wall_angle_rad,Kp,Kd,steering_angle_rad,velocity,forward_distance,corner_urgency,num_wall_points
1772931441.315533,0.5901,0.5000,0.0901,0.1264,0.5948,0.1257,2.00,0.80,-0.1070,1.00,0.9280,0.7321,500
1772931441.326401,0.5954,0.5000,0.0954,0.1248,0.6000,0.1242,2.00,0.80,-0.1085,1.00,0.9130,0.7372,500
1772931441.337404,0.5927,0.5000,0.0927,0.1324,0.5978,0.1316,2.00,0.80,-0.1122,1.00,0.8990,0.7420,500
1772931441.348374,0.5941,0.5000,0.0941,0.1346,0.5995,0.1338,2.00,0.80,0.0198,1.00,1.3610,0.5652,500
1772931441.359373,0.5946,0.5000,0.0946,0.1384,0.6002,0.1375,2.00,0.80,0.0154,1.00,1.3410,0.5740,500
1772931441.370326,0.6053,0.5000,0.1053,0.1371,0.6110,0.1362,2.00,0.80,0.0164,1.00,1.3160,0.5848,500
1772931441.390808,0.6067,0.5000,0.1067,0.1472,0.6133,0.1461,2.00,0.80,0.0193,1.00,1.3110,0.5869,500
1772931441.415205,0.6064,0.5000,0.1064,0.1562,0.6137,0.1550,2.00,0.80,0.0157,1.00,1.2910,0.5954,500
1772931441.439736,0.6165,0.5000,0.1165,0.1600,0.6244,0.1587,2.00,0.80,0.0168,1.00,1.2650,0.6062,500
1772931441.465396,0.6159,0.5000,0.1159,0.1688,0.6246,0.1672,2.00,0.80,0.0145,1.00,1.2510,0.6120,500
1772931441.490930,0.6218,0.5000,0.1218,0.1696,0.6307,0.1680,2.00,0.80,0.0116,1.00,1.2270,0.6217,500
1772931441.516819,0.6233,0.5000,0.1233,0.1657,0.6318,0.1642,2.00,0.80,0.0045,1.00,1.2050,0.6305,500
1772931441.542693,0.6283,0.5000,0.1283,0.1553,0.6358,0.1541,2.00,0.80,-0.0009,1.00,1.1860,0.6380,500
1772931441.567995,0.6288,0.5000,0.1288,0.1504,0.6359,0.1493,2.00,0.80,0.0051,1.00,1.2080,0.6293,500
1772931441.595686,0.6248,0.5000,0.1248,0.1501,0.6318,0.1490,2.00,0.80,0.0534,1.00,1.3660,0.5630,500
1772931441.617471,0.6307,0.5000,0.1307,0.1426,0.6371,0.1417,2.00,0.80,0.0506,1.00,1.3500,0.5701,500
1772931441.642978,0.6312,0.5000,0.1312,0.1401,0.6373,0.1392,2.00,0.80,0.0522,1.00,1.3560,0.5675,500
1772931441.668194,0.6278,0.5000,0.1278,0.1402,0.6339,0.1393,2.00,0.80,0.3400,1.00,2.1880,0.0000,500
1772931441.691129,0.6327,0.5000,0.1327,0.1339,0.6384,0.1331,2.00,0.80,0.3400,1.00,2.1610,0.0000,500
1772931441.723624,0.6345,0.5000,0.1345,0.1268,0.6396,0.1261,2.00,0.80,0.3400,1.00,2.1340,0.0000,500
1772931441.744772,0.6328,0.5000,0.1328,0.1231,0.6376,0.1224,2.00,0.80,0.3400,1.00,2.0820,0.0000,500
1772931441.768934,0.6316,0.5000,0.1316,0.1161,0.6359,0.1156,2.00,0.80,0.3400,1.00,2.0380,0.0000,500
1772931441.791229,0.6237,0.5000,0.1237,0.1069,0.6273,0.1065,2.00,0.80,0.2695,1.00,1.9470,0.1628,500
1772931441.820770,0.6242,0.5000,0.1242,0.0865,0.6266,0.0863,2.00,0.80,0.1991,1.00,1.8370,0.2855,500
1772931441.843283,0.6163,0.5000,0.1163,0.0656,0.6176,0.0655,2.00,0.80,0.1332,1.00,1.7270,0.3695,500
1772931441.868970,0.6129,0.5000,0.1129,0.0366,0.6133,0.0366,2.00,0.80,0.0717,1.00,1.5960,0.4494,500
1772931441.895419,0.5991,0.5000,0.0991,0.0122,0.5991,0.0122,2.00,0.80,0.0116,1.00,1.4730,0.5133,500
1772931441.919584,0.5922,0.5000,0.0922,-0.0158,0.5923,-0.0158,2.00,0.80,-0.0332,1.00,1.3640,0.5639,500
1772931441.948165,0.5851,0.5000,0.0851,-0.0436,0.5857,-0.0436,2.00,0.80,-0.0682,1.00,1.2800,0.6000,500
1772931441.968433,0.5778,0.5000,0.0778,-0.0672,0.5791,-0.0670,2.00,0.80,-0.0958,1.00,1.2130,0.6273,500
1772931441.992628,0.5697,0.5000,0.0697,-0.0833,0.5717,-0.0831,2.00,0.80,-0.1163,1.00,1.1640,0.6465,500
1772931442.017619,0.5649,0.5000,0.0649,-0.0947,0.5675,-0.0945,2.00,0.80,-0.1298,1.00,1.1280,0.6603,500
1772931442.041242,0.5596,0.5000,0.0596,-0.0954,0.5621,-0.0951,2.00,0.80,-0.1357,1.00,1.1170,0.6645,500
1772931442.068586,0.5565,0.5000,0.0565,-0.0924,0.5588,-0.0921,2.00,0.80,-0.1371,1.00,1.1160,0.6648,500
1772931442.094056,0.5528,0.5000,0.0528,-0.0845,0.5548,-0.0843,2.00,0.80,-0.1367,1.00,1.1200,0.6633,500
1772931442.121177,0.5568,0.5000,0.0568,-0.0826,0.5587,-0.0824,2.00,0.80,-0.1290,1.00,1.1440,0.6542,500
1772931442.144807,0.5568,0.5000,0.0568,-0.0753,0.5584,-0.0752,2.00,0.80,-0.1236,1.00,1.1620,0.6473,500
1772931442.168165,0.5548,0.5000,0.0548,-0.0633,0.5559,-0.0632,2.00,0.80,-0.1199,1.00,1.1710,0.6438,500
1772931442.194515,0.5556,0.5000,0.0556,-0.0534,0.5564,-0.0533,2.00,0.80,-0.1120,1.00,1.1940,0.6348,500
1772931442.216662,0.5550,0.5000,0.0550,-0.0420,0.5555,-0.0420,2.00,0.80,-0.1041,1.00,1.2190,0.6249,500
1772931442.244994,0.5536,0.5000,0.0536,-0.0297,0.5538,-0.0297,2.00,0.80,-0.0964,1.00,1.2440,0.6148,500
1772931442.269966,0.5562,0.5000,0.0562,-0.0217,0.5563,-0.0217,2.00,0.80,-0.0863,1.00,1.2710,0.6037,500
1772931442.293360,0.5581,0.5000,0.0581,-0.0134,0.5581,-0.0134,2.00,0.80,-0.0744,1.00,1.3070,0.5886,500
1772931442.319823,0.5607,0.5000,0.0607,-0.0077,0.5607,-0.0077,2.00,0.80,-0.0666,1.00,1.3240,0.5814,500
1772931442.344972,0.5612,0.5000,0.0612,0.0010,0.5612,0.0010,2.00,0.80,-0.0566,1.00,1.3540,0.5683,500
1772931442.368646,0.5608,0.5000,0.0608,0.0102,0.5608,0.0102,2.00,0.80,-0.0486,1.00,1.3770,0.5581,500
1772931442.393620,0.5642,0.5000,0.0642,0.0151,0.5642,0.0151,2.00,0.80,-0.0410,1.00,1.3890,0.5527,500
1772931442.418570,0.5658,0.5000,0.0658,0.0205,0.5659,0.0205,2.00,0.80,-0.0317,1.00,1.4140,0.5413,500
1772931442.443579,0.5646,0.5000,0.0646,0.0274,0.5648,0.0274,2.00,0.80,-0.0260,1.00,1.4320,0.5329,500
1772931442.469411,0.5597,0.5000,0.0597,0.0350,0.5600,0.0350,2.00,0.80,-0.0234,1.00,1.4500,0.5244,500
1772931442.492879,0.5639,0.5000,0.0639,0.0345,0.5642,0.0345,2.00,0.80,-0.0169,1.00,1.4610,0.5191,500
1772931442.519357,0.5640,0.5000,0.0640,0.0357,0.5644,0.0357,2.00,0.80,-0.0154,1.00,1.4650,0.5172,500
1772931442.546431,0.5663,0.5000,0.0663,0.0331,0.5666,0.0330,2.00,0.80,-0.0162,1.00,1.4570,0.5211,500
1772931442.571893,0.5658,0.5000,0.0658,0.0327,0.5661,0.0327,2.00,0.80,-0.0160,1.00,1.4600,0.5196,500
1772931442.594873,0.5663,0.5000,0.0663,0.0325,0.5666,0.0325,2.00,0.80,-0.0156,1.00,1.4600,0.5196,500
1772931442.622255,0.5615,0.5000,0.0615,0.0354,0.5619,0.0354,2.00,0.80,-0.0191,1.00,1.4600,0.5196,500
1772931442.644792,0.5617,0.5000,0.0617,0.0326,0.5620,0.0326,2.00,0.80,-0.0205,1.00,1.4580,0.5206,500
1772931442.669703,0.5596,0.5000,0.0596,0.0299,0.5598,0.0299,2.00,0.80,-0.0290,1.00,1.4350,0.5315,500
1772931442.700444,0.5635,0.5000,0.0635,0.0228,0.5636,0.0228,2.00,0.80,-0.0304,1.00,1.4250,0.5362,500
1772931442.718909,0.5587,0.5000,0.0587,0.0245,0.5589,0.0245,2.00,0.80,-0.0381,1.00,1.4080,0.5441,500
1772931442.744094,0.5602,0.5000,0.0602,0.0199,0.5603,0.0199,2.00,0.80,-0.0392,1.00,1.4050,0.5454,500
1772931442.769429,0.5594,0.5000,0.0594,0.0179,0.5595,0.0179,2.00,0.80,-0.0460,1.00,1.3820,0.5559,500
1772931442.798521,0.5582,0.5000,0.0582,0.0162,0.5583,0.0162,2.00,0.80,-0.0489,1.00,1.3760,0.5586,500
1772931442.817638,0.5569,0.5000,0.0569,0.0156,0.5570,0.0156,2.00,0.80,-0.0503,1.00,1.3760,0.5586,500
1772931442.842779,0.5566,0.5000,0.0566,0.0134,0.5566,0.0134,2.00,0.80,-0.0534,1.00,1.3670,0.5626,500
1772931442.871227,0.5533,0.5000,0.0533,0.0153,0.5534,0.0153,2.00,0.80,-0.0554,1.00,1.3680,0.5621,500
1772931442.895672,0.5524,0.5000,0.0524,0.0159,0.5525,0.0159,2.00,0.80,-0.0573,1.00,1.3620,0.5648,500
1772931442.918489,0.5546,0.5000,0.0546,0.0145,0.5547,0.0145,2.00,0.80,-0.0563,1.00,1.3600,0.5657,500
1772931442.947306,0.5532,0.5000,0.0532,0.0162,0.5533,0.0162,2.00,0.80,-0.0540,1.00,1.3730,0.5599,500
1772931442.970305,0.5479,0.5000,0.0479,0.0218,0.5480,0.0218,2.00,0.80,-0.0557,1.00,1.3780,0.5577,500
1772931442.995848,0.5543,0.5000,0.0543,0.0173,0.5544,0.0173,2.00,0.80,-0.0513,1.00,1.3790,0.5572,500
1772931443.023462,0.5526,0.5000,0.0526,0.0209,0.5527,0.0209,2.00,0.80,-0.0522,1.00,1.3760,0.5586,500
1772931443.046935,0.5554,0.5000,0.0554,0.0194,0.5555,0.0194,2.00,0.80,-0.0485,1.00,1.3840,0.5550,500
1772931443.069717,0.5515,0.5000,0.0515,0.0236,0.5516,0.0236,2.00,0.80,-0.0512,1.00,1.3810,0.5563,500
1772931443.096839,0.5556,0.5000,0.0556,0.0208,0.5557,0.0208,2.00,0.80,-0.0476,1.00,1.3850,0.5545,500
1772931443.122136,0.5548,0.5000,0.0548,0.0236,0.5549,0.0236,2.00,0.80,-0.0448,1.00,1.3960,0.5495,500
1772931443.145995,0.5519,0.5000,0.0519,0.0294,0.5522,0.0294,2.00,0.80,-0.0416,1.00,1.4120,0.5422,500
1772931443.172103,0.5541,0.5000,0.0541,0.0302,0.5543,0.0302,2.00,0.80,-0.0387,1.00,1.4150,0.5408,500
1772931443.197592,0.5563,0.5000,0.0563,0.0303,0.5565,0.0303,2.00,0.80,-0.0357,1.00,1.4190,0.5390,500
1772931443.223885,0.5554,0.5000,0.0554,0.0323,0.5557,0.0323,2.00,0.80,-0.0348,1.00,1.4230,0.5371,500
1772931443.246597,0.5563,0.5000,0.0563,0.0331,0.5566,0.0331,2.00,0.80,-0.0323,1.00,1.4290,0.5343,500
1772931443.271273,0.5524,0.5000,0.0524,0.0371,0.5528,0.0371,2.00,0.80,-0.0302,1.00,1.4470,0.5258,500
1772931443.301090,0.5547,0.5000,0.0547,0.0364,0.5551,0.0364,2.00,0.80,-0.0283,1.00,1.4470,0.5258,500
1772931443.324204,0.5563,0.5000,0.0563,0.0378,0.5567,0.0378,2.00,0.80,-0.0263,1.00,1.4470,0.5258,500
1772931443.346275,0.5539,0.5000,0.0539,0.0402,0.5543,0.0402,2.00,0.80,-0.0260,1.00,1.4540,0.5225,500
1772931443.371455,0.5527,0.5000,0.0527,0.0411,0.5531,0.0411,2.00,0.80,-0.0292,1.00,1.4440,0.5273,500
1772931443.396831,0.5557,0.5000,0.0557,0.0371,0.5561,0.0371,2.00,0.80,-0.0271,1.00,1.4470,0.5258,500
1772931443.422031,0.5575,0.5000,0.0575,0.0343,0.5578,0.0343,2.00,0.80,-0.0277,1.00,1.4420,0.5282,500
1772931443.448227,0.5550,0.5000,0.0550,0.0350,0.5553,0.0350,2.00,0.80,-0.0303,1.00,1.4400,0.5292,500
1772931443.473755,0.5569,0.5000,0.0569,0.0316,0.5572,0.0316,2.00,0.80,-0.0326,1.00,1.4280,0.5348,500
1772931443.497524,0.5481,0.5000,0.0481,0.0364,0.5485,0.0364,2.00,0.80,-0.0385,1.00,1.4300,0.5339,500
1772931443.521539,0.5564,0.5000,0.0564,0.0293,0.5566,0.0292,2.00,0.80,-0.0378,1.00,1.4110,0.5427,500
1772931443.547689,0.5538,0.5000,0.0538,0.0303,0.5541,0.0302,2.00,0.80,-0.0382,1.00,1.4180,0.5394,500
1772931443.572825,0.5549,0.5000,0.0549,0.0282,0.5551,0.0281,2.00,0.80,-0.0387,1.00,1.4150,0.5408,500
1772931443.597321,0.5537,0.5000,0.0537,0.0269,0.5539,0.0269,2.00,0.80,-0.0402,1.00,1.4150,0.5408,500
1772931443.622139,0.5534,0.5000,0.0534,0.0256,0.5536,0.0256,2.00,0.80,-0.0442,1.00,1.4010,0.5473,500
1772931443.644799,0.5536,0.5000,0.0536,0.0239,0.5538,0.0239,2.00,0.80,-0.0460,1.00,1.3950,0.5500,500
1772931443.672587,0.5538,0.5000,0.0538,0.0229,0.5540,0.0229,2.00,0.80,-0.0482,1.00,1.3860,0.5541,500
1772931443.698331,0.5528,0.5000,0.0528,0.0230,0.5530,0.0230,2.00,0.80,-0.0473,1.00,1.3940,0.5505,500
1772931443.724182,0.5478,0.5000,0.0478,0.0269,0.5480,0.0269,2.00,0.80,-0.0511,1.00,1.3910,0.5518,500
1772931443.747891,0.5481,0.5000,0.0481,0.0259,0.5483,0.0259,2.00,0.80,-0.0522,1.00,1.3860,0.5541,500
1772931443.773724,0.5507,0.5000,0.0507,0.0217,0.5508,0.0217,2.00,0.80,-0.0524,1.00,1.3820,0.5559,500
1772931443.799201,0.5498,0.5000,0.0498,0.0222,0.5499,0.0222,2.00,0.80,-0.0541,1.00,1.3770,0.5581,500
1772931443.821440,0.5511,0.5000,0.0511,0.0216,0.5512,0.0216,2.00,0.80,-0.0513,1.00,1.3850,0.5545,500
1772931443.850072,0.5508,0.5000,0.0508,0.0227,0.5509,0.0227,2.00,0.80,-0.0514,1.00,1.3840,0.5550,500
1772931443.872834,0.5496,0.5000,0.0496,0.0256,0.5498,0.0256,2.00,0.80,-0.0515,1.00,1.3840,0.5550,500
1772931443.898589,0.5493,0.5000,0.0493,0.0275,0.5495,0.0275,2.00,0.80,-0.0483,1.00,1.3960,0.5495,500
1772931443.924923,0.5480,0.5000,0.0480,0.0292,0.5483,0.0291,2.00,0.80,-0.0487,1.00,1.3970,0.5491,500
1772931443.948591,0.5523,0.5000,0.0523,0.0265,0.5525,0.0265,2.00,0.80,-0.0419,1.00,1.4140,0.5413,500
1772931443.971703,0.5519,0.5000,0.0519,0.0270,0.5521,0.0270,2.00,0.80,-0.0453,1.00,1.4000,0.5477,500
1772931443.997367,0.5494,0.5000,0.0494,0.0305,0.5497,0.0305,2.00,0.80,-0.0445,1.00,1.4080,0.5441,500
1772931444.024274,0.5524,0.5000,0.0524,0.0286,0.5526,0.0286,2.00,0.80,-0.0413,1.00,1.4130,0.5418,500
1772931444.051188,0.5469,0.5000,0.0469,0.0346,0.5472,0.0346,2.00,0.80,-0.0448,1.00,1.4100,0.5431,500
1772931444.072393,0.5488,0.5000,0.0488,0.0333,0.5491,0.0333,2.00,0.80,-0.0426,1.00,1.4140,0.5413,500
1772931444.098996,0.5501,0.5000,0.0501,0.0336,0.5504,0.0336,2.00,0.80,-0.0404,1.00,1.4180,0.5394,500
1772931444.125991,0.5492,0.5000,0.0492,0.0348,0.5495,0.0348,2.00,0.80,-0.0413,1.00,1.4160,0.5404,500
1772931444.149287,0.5538,0.5000,0.0538,0.0303,0.5541,0.0303,2.00,0.80,-0.0366,1.00,1.4250,0.5362,500
1772931444.171719,0.5525,0.5000,0.0525,0.0312,0.5527,0.0312,2.00,0.80,-0.0386,1.00,1.4200,0.5385,500
1772931444.199083,0.5475,0.5000,0.0475,0.0352,0.5478,0.0352,2.00,0.80,-0.0422,1.00,1.4180,0.5394,500
1772931444.226576,0.5534,0.5000,0.0534,0.0301,0.5537,0.0301,2.00,0.80,-0.0386,1.00,1.4180,0.5394,500
1772931444.249717,0.5507,0.5000,0.0507,0.0326,0.5509,0.0325,2.00,0.80,-0.0396,1.00,1.4210,0.5381,500
1772931444.272651,0.5498,0.5000,0.0498,0.0352,0.5501,0.0352,2.00,0.80,-0.0403,1.00,1.4170,0.5399,500
1772931444.298781,0.5486,0.5000,0.0486,0.0356,0.5490,0.0356,2.00,0.80,-0.0397,1.00,1.4240,0.5367,500
1772931444.327006,0.5523,0.5000,0.0523,0.0308,0.5525,0.0308,2.00,0.80,-0.0392,1.00,1.4190,0.5390,500
1772931444.349219,0.5477,0.5000,0.0477,0.0331,0.5480,0.0331,2.00,0.80,-0.0453,1.00,1.4070,0.5445,500
1772931444.374153,0.5466,0.5000,0.0466,0.0358,0.5470,0.0358,2.00,0.80,-0.0433,1.00,1.4160,0.5404,500
1772931444.399183,0.5486,0.5000,0.0486,0.0333,0.5489,0.0333,2.00,0.80,-0.0419,1.00,1.4180,0.5394,500
1772931444.424849,0.5497,0.5000,0.0497,0.0313,0.5499,0.0313,2.00,0.80,-0.0403,1.00,1.4240,0.5367,500
1772931444.450766,0.5506,0.5000,0.0506,0.0305,0.5508,0.0305,2.00,0.80,-0.0427,1.00,1.4110,0.5427,500
1772931444.475856,0.5495,0.5000,0.0495,0.0299,0.5497,0.0299,2.00,0.80,-0.0423,1.00,1.4180,0.5394,500
1772931444.499472,0.5491,0.5000,0.0491,0.0281,0.5494,0.0281,2.00,0.80,-0.0444,1.00,1.4130,0.5418,500
1772931444.525113,0.5491,0.5000,0.0491,0.0273,0.5493,0.0273,2.00,0.80,-0.0477,1.00,1.4000,0.5477,500
1772931444.550135,0.5498,0.5000,0.0498,0.0261,0.5500,0.0261,2.00,0.80,-0.0475,1.00,1.4000,0.5477,500
1772931444.574140,0.5452,0.5000,0.0452,0.0293,0.5454,0.0293,2.00,0.80,-0.0523,1.00,1.3920,0.5514,500
1772931444.600325,0.5502,0.5000,0.0502,0.0248,0.5503,0.0248,2.00,0.80,-0.0524,1.00,1.3790,0.5572,500
1772931444.625302,0.5484,0.5000,0.0484,0.0278,0.5486,0.0278,2.00,0.80,-0.0475,1.00,1.4030,0.5464,500
1772931444.651715,0.5459,0.5000,0.0459,0.0315,0.5462,0.0315,2.00,0.80,-0.0479,1.00,1.4050,0.5454,500
1772931444.676101,0.5476,0.5000,0.0476,0.0298,0.5478,0.0298,2.00,0.80,-0.0482,1.00,1.4000,0.5477,500
1772931444.699076,0.5495,0.5000,0.0495,0.0280,0.5497,0.0280,2.00,0.80,-0.0473,1.00,1.3990,0.5482,500
1772931444.725780,0.5459,0.5000,0.0459,0.0313,0.5462,0.0313,2.00,0.80,-0.0503,1.00,1.3950,0.5500,500
1772931444.751058,0.5497,0.5000,0.0497,0.0297,0.5500,0.0297,2.00,0.80,-0.0460,1.00,1.4010,0.5473,500
1772931444.777853,0.5447,0.5000,0.0447,0.0356,0.5451,0.0356,2.00,0.80,-0.0462,1.00,1.4110,0.5427,500
1772931444.801031,0.5506,0.5000,0.0506,0.0317,0.5509,0.0317,2.00,0.80,-0.0438,1.00,1.4040,0.5459,500
1772931444.826038,0.5503,0.5000,0.0503,0.0322,0.5506,0.0322,2.00,0.80,-0.0407,1.00,1.4180,0.5394,500
1772931444.850261,0.5464,0.5000,0.0464,0.0358,0.5468,0.0357,2.00,0.80,-0.0434,1.00,1.4160,0.5404,500
1772931444.875808,0.5490,0.5000,0.0490,0.0335,0.5493,0.0334,2.00,0.80,-0.0436,1.00,1.4090,0.5436,500
1772931444.902593,0.5462,0.5000,0.0462,0.0360,0.5465,0.0359,2.00,0.80,-0.0445,1.00,1.4120,0.5422,500
1772931444.929386,0.5491,0.5000,0.0491,0.0334,0.5495,0.0334,2.00,0.80,-0.0425,1.00,1.4130,0.5418,500
1772931444.948925,0.5494,0.5000,0.0494,0.0340,0.5497,0.0340,2.00,0.80,-0.0429,1.00,1.4090,0.5436,500
1772931444.978786,0.5491,0.5000,0.0491,0.0355,0.5495,0.0355,2.00,0.80,-0.0415,1.00,1.4140,0.5413,500
1772931445.002139,0.5489,0.5000,0.0489,0.0364,0.5493,0.0364,2.00,0.80,-0.0393,1.00,1.4230,0.5371,500
1772931445.023747,0.5491,0.5000,0.0491,0.0358,0.5495,0.0357,2.00,0.80,-0.0389,1.00,1.4250,0.5362,500
1772931445.051850,0.5509,0.5000,0.0509,0.0330,0.5512,0.0330,2.00,0.80,-0.0422,1.00,1.4080,0.5441,500
1772931445.077277,0.5511,0.5000,0.0511,0.0326,0.5514,0.0326,2.00,0.80,-0.0412,1.00,1.4120,0.5422,500
1772931445.101079,0.5487,0.5000,0.0487,0.0357,0.5491,0.0357,2.00,0.80,-0.0427,1.00,1.4100,0.5431,500
1772931445.125851,0.5490,0.5000,0.0490,0.0353,0.5494,0.0353,2.00,0.80,-0.0412,1.00,1.4160,0.5404,500
1772931445.151966,0.5476,0.5000,0.0476,0.0362,0.5479,0.0362,2.00,0.80,-0.0409,1.00,1.4220,0.5376,500
1772931445.178567,0.5480,0.5000,0.0480,0.0349,0.5483,0.0349,2.00,0.80,-0.0441,1.00,1.4080,0.5441,500
1772931445.202530,0.5501,0.5000,0.0501,0.0321,0.5504,0.0321,2.00,0.80,-0.0416,1.00,1.4150,0.5408,500
1772931445.226264,0.5467,0.5000,0.0467,0.0340,0.5471,0.0340,2.00,0.80,-0.0463,1.00,1.4050,0.5454,500
1772931445.253052,0.5445,0.5000,0.0445,0.0350,0.5449,0.0350,2.00,0.80,-0.0490,1.00,1.4000,0.5477,500
1772931445.276681,0.5480,0.5000,0.0480,0.0314,0.5483,0.0313,2.00,0.80,-0.0475,1.00,1.3990,0.5482,500
1772931445.302645,0.5478,0.5000,0.0478,0.0310,0.5481,0.0309,2.00,0.80,-0.0484,1.00,1.3960,0.5495,500
1772931445.327047,0.5475,0.5000,0.0475,0.0318,0.5478,0.0317,2.00,0.80,-0.0473,1.00,1.4010,0.5473,500
